date,geography,geography code,Age: Total,Age: Aged 4 years and under,Age: Aged 5 to 9 years,Age: Aged 10 to 14 years,Age: Aged 15 to 19 years,Age: Aged 20 to 24 years,Age: Aged 25 to 29 years,Age: Aged 30 to 34 years,Age: Aged 35 to 39 years,Age: Aged 40 to 44 years,Age: Aged 45 to 49 years,Age: Aged 50 to 54 years,Age: Aged 55 to 59 years,Age: Aged 60 to 64 years,Age: Aged 65 to 69 years,Age: Aged 70 to 74 years,Age: Aged 75 to 79 years,Age: Aged 80 to 84 years,Age: Aged 85 years and over
2021,Denbighshire,W06000004,95817,4769,5339,5664,5160,4499,5089,5125,4891,4943,5750,6878,7310,6653,6064,6625,4803,3257,2998
2021,Flintshire,W06000005,154962,7626,8666,9351,8134,7442,8927,9732,9419,8897,10059,11829,11656,9997,8648,9638,6634,4553,3754
2021,Wrexham,W06000006,135114,6998,8006,8248,7290,7000,7910,8667,8738,8125,8735,10127,9604,8282,7450,7601,5502,3532,3299
2021,Ceredigion,W06000008,71475,2709,3288,3424,4792,6366,3652,3455,3268,3170,3707,4752,5364,5140,4930,5012,3718,2379,2349
2021,Pembrokeshire,W06000009,123360,5583,6731,7139,6245,5621,6279,6628,6279,6229,6953,8655,9631,9045,8620,8825,6540,4315,4042
2021,Carmarthenshire,W06000010,187897,9057,10274,10970,9909,8820,9961,10731,10431,10178,11193,13181,14322,13403,12413,12190,9233,6014,5617
2021,Swansea,W06000011,238490,11427,13016,13685,14451,19157,14232,15073,14511,13837,14021,15662,15995,14545,12704,13139,9559,6853,6623
2021,Neath Port Talbot,W06000012,142290,7045,7973,8409,8854,7668,8340,8840,8754,8206,8439,9779,10331,9519,8364,8250,5867,3978,3674
2021,Bridgend,W06000013,145490,7343,8424,8601,7623,7458,8769,9904,8900,8571,9257,10678,10703,9162,8071,8172,6084,4209,3561
2021,Vale of Glamorgan,W06000014,131941,6851,7913,8250,6942,6040,7174,7912,8126,8128,8267,9180,9484,8682,7798,7830,5741,3921,3702
2021,Cardiff,W06000015,362310,19069,21504,21509,26433,37885,29300,27006,24911,22262,20234,21062,20606,18030,14807,14068,9590,6917,7117
2021,Rhondda Cynon Taff,W06000016,237653,12531,14031,14519,13429,14320,14738,16093,15213,13578,14681,16651,16793,14451,12821,13213,9305,6120,5166
2021,Caerphilly,W06000018,175945,9216,10412,10813,9592,9058,10676,11581,11240,10575,11018,12649,12716,10989,9852,10029,7058,4651,3820
2021,Blaenau Gwent,W06000019,66900,3543,3731,3796,3318,3530,4416,4590,4022,3688,4138,5079,5162,4364,3699,3826,2769,1797,1432
2021,Torfaen,W06000020,92276,5002,5432,5625,4887,4696,5841,6274,5743,5172,5359,6376,6810,5902,5232,5222,3808,2528,2367
2021,Monmouthshire,W06000021,92957,3962,4641,5156,4571,3869,4496,4731,4903,5035,5812,7262,7817,6662,6193,6404,4890,3290,3263
2021,Newport,W06000022,159592,9733,10336,10215,8673,8737,11062,12540,11147,9947,9713,10776,10675,8978,7276,7254,5350,3754,3426
2021,Powys,W06000023,133168,5731,6542,6994,6419,5697,6508,6723,6481,6401,7753,9713,10677,10410,9824,10053,7528,5022,4692
2021,Merthyr Tydfil,W06000024,58840,3301,3659,3579,3120,3216,3694,4146,4024,3336,3494,4123,4258,3780,3148,3156,2169,1432,1205
